country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
GB,SV,8464.1998,15.5756,7.4442,1.1223,35675.8038,35675.8038,1.1223
PT,IQ,4637.1585,16.6982,2.0794,-1.1216,15203.7076,15203.7076,1.1216
NL,TJ,5157.4776,15.5362,7.2492,1.1209,44498.9361,44498.9361,1.1209
EE,NP,5572.8379,14.0214,0,1.1207,16845.1549,16845.1549,1.1207
LA,GH,11101.0439,14.2518,1.0986,1.1199,839.6918,839.6918,1.1199
SE,TJ,4313.1784,15.3523,6.3648,1.1199,50804.025,50804.025,1.1199
SI,BJ,4270.8054,14.0232,0,1.1189,20515.1298,20515.1298,1.1189
ES,AZ,4289.0698,17.0201,3.6376,-1.1178,22651.5554,22651.5554,1.1178
VN,TL,3195.1639,16.2596,0,-1.1175,83.6903,83.6903,1.1175
HR,TJ,4593.103,14.3618,1.6094,1.1166,11294.8227,11294.8227,1.1166
MY,TG,11158.6064,14.4601,2.0794,1.1166,8924.1067,8924.1067,1.1166
US,ML,8988.4649,18.0918,8.776,-1.1155,56686.28,56686.28,1.1155
DK,BG,1886.5707,16.2559,0,-1.1139,46066.8685,46066.8685,1.1139
AR,LB,13004.9699,14.2584,1.0986,1.1132,4535.2122,4535.2122,1.1132
ID,PE,18528.1799,17.0005,3.5835,-1.1095,-2475.3552,2475.3552,1.1095
IT,RW,5174.3805,17.1104,4.1109,-1.1092,29824.4326,29824.4326,1.1092
BE,DO,7333.6642,14.6251,2.8332,1.1091,34373.9338,34373.9338,1.1091
TW,BJ,12409.6738,14.3235,1.3863,1.1083,21808.5596,21808.5596,1.1083
KR,BO,17561.1791,14.4084,1.7918,1.1081,24433.85,24433.85,1.1081
NL,CG,5905.0955,14.7325,3.3322,1.106,43766.5352,43766.5352,1.106
PA,VN,17310.965,14.037,0,1.105,11494.5457,11494.5457,1.105
AZ,KG,2286.6632,16.2453,0,-1.1033,2799.9003,2799.9003,1.1033
NL,DO,7388.7638,15.0153,4.6728,1.1033,38572.5565,38572.5565,1.1033
