country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
TH,GE,6183.4555,15.7174,4.6347,0.39328,2054.2635,2054.2635
AU,UA,12983.3818,15.6783,4.4543,0.39473,47742.0915,47742.0915
DE,PA,9354.6627,15.1534,1.9459,0.39536,28255.8226,28255.8226
GB,HN,8170.124,16.0084,6.0403,0.39608,37538.2308,37538.2308
SA,EC,13448.2456,14.8885,0.69315,0.39842,14059.6641,14059.6641
BR,AM,11605.6468,15.3216,2.7726,0.39989,5043.7964,5043.7964
US,LB,10668.9737,16.6517,9.1405,0.40064,49552.7824,49552.7824
AE,ZW,5426.5274,15.4416,3.3673,0.40421,36613.6101,36613.6101
AU,MG,8831.3386,15.8569,5.3566,0.40468,49526.5006,49526.5006
DK,BF,4987.2074,15.2733,2.5649,0.40479,52767.9338,52767.9338
IE,CM,5446.3101,15.143,1.9459,0.4057,60573.8342,60573.8342
IE,GH,5097.3391,15.4606,3.4657,0.40575,60093.0219,60093.0219
AR,JO,12850.7777,14.736,0,0.406,8361.2793,8361.2793
US,AL,9146.7975,16.2232,7.1172,0.40635,53319.8909,53319.8909
CA,EC,6929.6227,16.3317,7.6435,0.40781,36188.9439,36188.9439
MY,ML,11548.0875,15.2526,2.4849,0.40882,8722.0613,8722.0613
IE,MM,8957.8135,14.9616,1.0986,0.41008,60331.4653,60331.4653
CO,AZ,12292.4637,14.9608,1.0986,0.41087,1928.6689,1928.6689
AU,KH,5237.7223,16.4447,8.2082,0.41285,48657.9123,48657.9123
SK,PH,9799.1423,15.5805,4.0775,0.41379,13544.9158,13544.9158
AE,LA,5020.7195,14.7259,0,0.41616,35269.0546,35269.0546
KE,PY,10654.0947,14.8703,0.69315,0.41664,-2624.8449,2624.8449
OM,ZW,5365.6079,14.7247,0,0.4174,13973.7606,13973.7606
AT,MZ,7651.6302,15.2758,2.6391,0.41778,43794.4459,43794.4459
IT,BO,10110.7773,15.6803,4.585,0.42004,27422.3121,27422.3121
RO,KH,8239.7778,15.3361,2.9444,0.42135,8204.2234,8204.2234
AM,GH,5788.2619,14.7166,0,0.42541,2092.691,2092.691
FR,BO,9563.6111,15.8904,5.624,0.42709,33750.0122,33750.0122
BE,MG,8747.7564,15.1216,1.9459,0.42712,40694.8384,40694.8384
MD,TJ,3559.8921,14.7109,0,0.43115,1104.3576,1104.3576
BG,TJ,3831.0995,15.2605,2.6391,0.43306,6554.9519,6554.9519
AT,ZM,6872.1943,14.9382,1.0986,0.43348,42998.1273,42998.1273
PL,MN,5800.9321,15.0434,1.6094,0.43502,8685.9654,8685.9654
OM,AM,2306.1179,14.7048,0,0.43722,11376.2059,11376.2059
JO,KH,7279.6993,14.8496,0.69315,0.43733,2818.0303,2818.0303
PE,RW,11604.851,14.8493,0.69315,0.4376,5342.8145,5342.8145
OM,TJ,2421.1129,15.7016,4.7791,0.43927,14186.5141,14186.5141
DK,VN,9242.3678,15.6432,4.4998,0.4393,51231.974,51231.974
NL,CO,8896.63,16.1632,6.9948,0.44078,39489.1747,39489.1747
NL,MW,7787.0125,15.4403,3.5553,0.44477,44993.9852,44993.9852
MX,SR,5446.902,14.6911,0,0.45093,1716.8735,1716.8735
VN,BO,19107.6687,14.8324,0.69315,0.45455,-919.2658,919.2658
